fips,name,median_hh_income,median_age,population,log_population,pct_bachelors_plus,pct_poverty,pct_nhwhite,pct_native_american
46009,"Bon Homme County, South Dakota",57554,42.1,7018,3.846213363879387,20.073486753045835,11.71003717472119,86.19264747791394,6.355086919350242
46011,"Brookings County, South Dakota",64438,27.7,34631,4.539465032358342,42.42893780722377,12.48090631364562,88.57670872917328,0.7045710490600906
46013,"Brown County, South Dakota",70379,37.3,38278,4.582949238100234,32.81564113682053,10.54768370392278,85.44594806416218,2.993886827942944
46015,"Brule County, South Dakota",64821,41.5,5247,3.719911064198339,25.727069351230426,13.92828999211978,81.18925100057176,12.292738707833047
46017,"Buffalo County, South Dakota",42917,24.0,1859,3.2692793897718984,6.805708013172337,36.51654910472056,18.45077998924153,72.40451855836471
46019,"Butte County, South Dakota",58106,40.3,10369,4.01573687447745,18.174308137133416,8.234602957015568,88.12807406693027,1.2055164432442858
46021,"Campbell County, South Dakota",66932,50.4,1534,3.185825359612962,28.352835283528353,5.620915032679739,94.71968709256845,0.2607561929595828
46023,"Charles Mix County, South Dakota",60729,35.4,9302,3.9685763351754977,24.703801945181254,22.865751590224306,62.42743496022361,27.542463986239518
46025,"Clark County, South Dakota",59340,41.2,3837,3.5839917991983166,18.676585747846516,9.430413756045137,92.20745373990097,0.07818608287724785
46027,"Clay County, South Dakota",55963,24.6,14953,4.174728333311894,40.00545404963185,21.170313986679353,86.15662408881161,3.296997258075303
46029,"Codington County, South Dakota",65747,39.6,28402,4.453348923088627,20.169587922030917,10.95321616494255,90.72952608971198,2.3202591366805154
46031,"Corson County, South Dakota",48125,29.0,3906,3.5917322389518356,17.1575502571295,43.445789338140614,28.187403993855607,69.5084485407066
46033,"Custer County, South Dakota",75943,56.8,8515,3.9301846522986197,30.499927964270277,8.273638968481375,88.89019377568997,2.1256605989430417
46035,"Davison County, South Dakota",55606,39.7,19966,4.300291066777081,23.25803840776985,15.186036789297658,89.77261344285284,2.5192827807272367
46037,"Day County, South Dakota",57558,47.2,5485,3.73917663191073,22.409823484267076,14.71465870943678,85.26891522333638,9.644484958979033
46039,"Deuel County, South Dakota",76997,42.0,4298,3.6332664111554247,23.699421965317917,5.753360056590426,93.41554211261052,0.13959981386691486
46041,"Dewey County, South Dakota",55077,27.1,5275,3.72222246396973,17.87249283667622,30.918524212144504,18.672985781990523,77.17535545023696
46043,"Douglas County, South Dakota",75048,41.6,2823,3.450710878146919,20.591341077085534,14.522668632510136,93.4821112291888,1.20439249025859
46045,"Edmunds County, South Dakota",76806,43.7,4014,3.6035773681514667,28.148921363952677,7.324675324675324,94.89287493771799,1.295465869456901
46047,"Fall River County, South Dakota",54886,54.7,7079,3.8499719123288503,19.86501276906239,19.29001026844653,84.07967227009465,7.486933182652917
46049,"Faulk County, South Dakota",56734,45.8,2140,3.330413773349191,22.15277777777778,23.83019778099373,95.65420560747664,0.3271028037383178
46051,"Grant County, South Dakota",70851,43.8,7533,3.8769679674325848,24.405554498763554,9.807640205906258,92.24744457719368,0.5177220230983672
46053,"Gregory County, South Dakota",48272,45.7,3983,3.600210306409328,19.148936170212767,12.828360112216272,86.76876726085865,5.623901581722319
46055,"Haakon County, South Dakota",53109,44.7,1755,3.244277120801843,16.62611516626115,10.670553935860058,90.42735042735043,4.9002849002849
46057,"Hamlin County, South Dakota",76995,33.1,6196,3.7921114090871684,21.88449848024316,7.425329551143001,92.01097482246611,0.19367333763718528
46059,"Hand County, South Dakota",72857,44.6,3075,3.4878451201114355,25.341497880357984,7.687210072895957,92.61788617886178,0.22764227642276422
46061,"Hanson County, South Dakota",86827,37.3,3443,3.5369370227046737,21.122112211221122,6.012198663955853,93.34882370026139,0.0
46063,"Harding County, South Dakota",71484,45.1,1176,3.0704073217401198,27.346465816917732,6.426735218508997,84.8639455782313,2.1258503401360542
46065,"Hughes County, South Dakota",83750,39.2,17812,4.2507126864591855,35.418022121014964,10.023923444976077,80.84437457893556,11.110487311924546
46067,"Hutchinson County, South Dakota",69139,41.7,7401,3.8692904042093983,25.752709755118424,9.895539243365329,91.47412511822726,0.4593973787326037
46069,"Hyde County, South Dakota",69712,47.0,1319,3.1202447955463652,20.342396777442097,6.651017214397497,89.84078847611828,1.592115238817286
46071,"Jackson County, South Dakota",26078,33.4,2838,3.4530123911214554,15.595794392523366,38.40290381125227,32.69908386187456,63.28400281888654
46073,"Jerauld County, South Dakota",66607,50.5,1836,3.2638726768652235,16.83381088825215,9.106145251396649,88.01742919389977,1.5250544662309369
46075,"Jones County, South Dakota",61250,41.8,1006,3.0025979807199086,33.88059701492537,14.81113320079523,78.23061630218689,18.986083499005964
46077,"Kingsbury County, South Dakota",65964,41.9,5172,3.7136585162083566,22.961494903737258,9.275705545687783,93.61948955916473,1.082753286929621
46079,"Lake County, South Dakota",74884,44.3,11207,4.049489371933556,34.548274525009695,9.660257606869518,92.15668778442046,2.1593646827875435
46081,"Lawrence County, South Dakota",62977,43.0,26047,4.415757710035791,36.69844728956688,11.068853498138024,89.43832303144316,1.9541597880754022
46083,"Lincoln County, South Dakota",92317,35.9,65801,4.818232493783892,41.80360347761229,6.451167076167076,90.8512028692573,0.22340086016929833
46085,"Lyman County, South Dakota",60284,36.0,3719,3.570426178358973,23.176521363832542,25.08187772925764,53.643452541005644,44.09787577305727
46087,"McCook County, South Dakota",74873,39.5,5714,3.756940236046724,27.69396551724138,8.357348703170029,92.66713335666783,0.2975148757437872
46089,"McPherson County, South Dakota",58529,50.9,2251,3.35237549500052,20.505111244738426,13.216485078162007,95.24655708573967,0.1776988005330964
46091,"Marshall County, South Dakota",74018,43.7,4363,3.63978521298682,23.30802244965335,7.500587820362098,82.03071281228512,6.211322484528994
46093,"Meade County, South Dakota",70256,36.5,29970,4.4766867429456445,27.382543690281697,7.443209279845337,85.9793126459793,2.0086753420086754
46095,"Mellette County, South Dakota",41397,36.3,1989,3.2986347831244354,11.939102564102564,49.13294797687861,32.17697335344394,62.19205630970337
46097,"Miner County, South Dakota",62037,48.8,2312,3.3639878297484915,16.49608669476219,10.507569011576136,93.81487889273356,1.3408304498269896
46099,"Minnehaha County, South Dakota",73110,35.6,197742,5.296098922378893,34.17823206279743,8.703931427029664,80.19388900688776,1.8503909134124263
46101,"Moody County, South Dakota",71469,40.6,6346,3.8025000677643934,27.006610009442873,9.588602529214024,75.30728017648912,12.212417270721716
46102,"Oglala Lakota County, South Dakota",32279,26.3,13695,4.1365620365899805,8.149842722333428,55.77648015374381,4.600219058050383,89.89412194231471
46103,"Pennington County, South Dakota",67823,39.6,110386,5.042913996325297,33.37876802096986,12.266467485178097,78.45831898972696,6.665700360552969
46105,"Perkins County, South Dakota",64410,45.4,2970,3.4727564493172123,20.228462636839602,11.943874058863791,95.42087542087542,1.9191919191919191
46107,"Potter County, South Dakota",71786,44.7,2587,3.4127964287165433,24.29596907785754,6.971153846153847,91.88248936992656,0.7730962504831852
46109,"Roberts County, South Dakota",59022,37.0,10242,4.010384771498377,16.529566971907496,20.8374975014991,55.19429798867409,40.119117359890645
46111,"Sanborn County, South Dakota",65806,39.3,2373,3.375297738217339,19.898926089703096,8.712613784135241,93.3417614833544,0.21070375052675938
46115,"Spink County, South Dakota",65795,45.0,6355,3.803115554890027,25.060935076445823,10.633520449077787,92.41542092840284,0.3776553894571204
46117,"Stanley County, South Dakota",82298,43.2,2979,3.4740705032150436,26.854460093896716,3.2225579053373616,89.02316213494461,3.3568311513930853
46119,"Sully County, South Dakota",66875,52.7,1318,3.119915410257991,21.511627906976745,8.486238532110093,92.1092564491654,0.0
46121,"Todd County, South Dakota",33792,25.1,9353,3.970950934345424,14.739084132055376,52.19947735191638,7.494921415588582,83.43846894044692
46123,"Tripp County, South Dakota",56758,44.7,5607,3.7487305560984945,17.08158737983732,21.911160880925717,79.68610665239879,14.802924915284466
46125,"Turner County, South Dakota",72312,42.0,8687,3.9388698215129865,26.4484888963099,9.228584950307619,94.76228847703464,0.4144123402785772
46127,"Union County, South Dakota",82036,40.1,16700,4.222716471147583,35.424483029404065,8.249924173491053,89.19161676646706,0.9760479041916168
46129,"Walworth County, South Dakota",57697,40.9,5317,3.7256666603141784,27.65392781316348,13.238406773138351,78.86025954485612,9.98683468121121
46135,"Yankton County, South Dakota",68847,41.7,23311,4.367560904372852,27.281684936568546,7.984124053904375,87.94560507914719,2.2478658144223758
46137,"Ziebach County, South Dakota",46023,34.3,2455,3.3900514964589874,14.874915483434753,41.34419551934827,25.050916496945007,67.16904276985744
47001,"Anderson County, Tennessee",60633,42.1,77337,4.888387321231802,24.528951997533685,15.39761772706864,87.58162328510286,0.2534362594876967
47003,"Bedford County, Tennessee",59955,37.9,50533,4.703575081827597,17.119436553030305,12.391635896612618,75.18453287950449,0.26913106286980787
47005,"Benton County, Tennessee",47737,47.9,15933,4.2022975561388,11.103442325942542,17.962364569473486,91.38266490930774,0.1129730747505178
47007,"Bledsoe County, Tennessee",51783,44.6,14816,4.170730969337859,10.340005244296826,26.00762128096145,87.34476241900649,0.3037257019438445
47009,"Blount County, Tennessee",70935,43.8,135951,5.133382406428003,26.021494422655735,8.596331235330174,89.85737508366985,0.05443137601047436
